Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Cheonan City,1.46,1.52,-0.06,0.70,1.31,-0.61,0.00,0.21,-0.21,0.70,1.52,-0.82,2,2,0,0.06,57.40,57.83,47.41,0.77,0.74,236,9,13,20,16.88,27.03,9.35,7,2,20,3,8,84.5,56.86,22.2,21.51,51.03,34.96,3,Hwaseong 2-2 Cheonan City,2026-03-15
Hwaseong,1.52,1.46,0.06,1.31,0.70,0.61,0.21,0.00,0.21,1.52,0.70,0.82,2,2,0,-0.06,42.60,42.17,43.43,0.74,0.77,139,11,20,13,27.03,16.88,19.67,2,7,14,3,10,64.1,43.14,81.0,78.49,94.93,65.04,2,Hwaseong 2-2 Cheonan City,2026-03-15
Paju Frontier,2.76,1.61,1.15,1.86,0.85,1.01,0.14,0.00,0.14,2.00,0.85,1.15,2,1,1,-0.15,42.40,50.49,47.45,0.66,0.25,166,16,18,9,27.27,36.0,10.27,4,5,19,6,16,142.8,62.85,82.67,84.3,185.33,88.84,0,Ansan Greeners 1-2 Paju Frontier,2026-03-15
Ansan Greeners,1.61,2.76,-1.15,0.85,1.86,-1.01,0.00,0.14,-0.14,0.85,2.00,-1.15,1,2,-1,0.15,57.60,49.51,44.69,0.25,0.66,186,3,9,18,36.0,27.27,7.00,5,4,20,2,22,84.4,37.15,15.4,15.7,23.27,11.16,1,Ansan Greeners 1-2 Paju Frontier,2026-03-15
Daegu,1.10,1.68,-0.58,1.05,0.89,0.16,0.04,0.03,0.01,1.10,0.92,0.18,3,2,1,1.58,53.30,58.15,50.61,1.0,1.13,247,17,14,16,14.0,14.16,9.49,5,3,29,6,19,130.8,71.24,40.87,43.57,118.1,81.47,2,Chungnam Asan 2-3 Daegu,2026-03-15
Chungnam Asan,1.68,1.10,0.58,0.89,1.05,-0.16,0.03,0.04,-0.01,0.92,1.10,-0.18,2,3,-1,-1.58,46.70,41.85,44.43,1.13,1.0,149,24,16,14,14.16,14.0,10.69,3,5,22,4,10,52.8,28.76,52.93,56.43,26.87,18.53,0,Chungnam Asan 2-3 Daegu,2026-03-15
Chungbuk Cheongju,1.34,0.85,0.49,1.32,0.85,0.47,0.03,0.00,0.03,1.34,0.85,0.49,2,2,0,-0.49,68.30,71.24,48.31,0.77,0.46,288,14,9,9,11.69,19.57,5.80,8,5,24,2,15,167.6,82.16,3.73,2.36,67.63,39.31,0,Gyeongnam 2-2 Chungbuk Cheongju,2026-03-14
Gyeongnam,0.85,1.34,-0.49,0.85,1.32,-0.47,0.00,0.03,-0.03,0.85,1.34,-0.49,2,2,0,0.49,31.70,28.76,41.84,0.46,0.77,79,11,9,9,19.57,11.69,16.59,5,8,11,1,17,36.4,17.84,154.2,97.64,104.4,60.69,1,Gyeongnam 2-2 Chungbuk Cheongju,2026-03-14
Gimpo Citizen,1.75,0.84,0.91,1.70,0.25,1.45,0.05,0.59,-0.54,1.75,0.84,0.91,3,1,2,1.09,44.20,45.93,44.83,0.98,0.69,155,10,16,8,16.33,11.59,10.84,5,3,9,1,17,91.3,53.64,83.67,84.23,148.57,85.86,1,Yongin 1-3 Gimpo Citizen,2026-03-14
Yongin,0.84,1.75,-0.91,0.25,1.70,-1.45,0.59,0.05,0.54,0.84,1.75,-0.91,1,3,-2,-1.09,55.80,54.07,43.21,0.69,0.98,193,14,8,16,11.59,16.33,14.04,3,5,18,5,10,78.9,46.36,15.67,15.77,24.47,14.14,1,Yongin 1-3 Gimpo Citizen,2026-03-14
