Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Iwaki,0.43,0.75,-0.32,0.43,0.63,-0.20,0.00,0.12,-0.12,0.43,0.75,-0.32,0,0,0,0.32,54.80,59.4,50.55,0.67,0.71,204,14,7,10,10.45,14.08,10.08,3,2,14,3,15,102.8,52.45,17.07,33.51,79.77,47.84,7,Gifu 0-0 Iwaki,2026-02-22
Gifu,0.75,0.43,0.32,0.63,0.43,0.20,0.12,0.00,0.12,0.75,0.43,0.32,0,0,0,-0.32,45.20,40.6,46.19,0.71,0.67,136,9,10,7,14.08,10.45,10.64,2,3,15,5,8,93.2,47.55,33.87,66.49,86.97,52.16,0,Gifu 0-0 Iwaki,2026-02-22
Giravanz Kitakyushu,0.84,2.60,-1.76,0.66,2.55,-1.89,0.18,0.05,0.13,0.84,2.60,-1.76,1,4,-3,-1.24,43.70,34.47,41.42,0.14,1.03,154,5,15,18,107.14,17.48,18.25,4,4,16,3,8,45.0,20.43,84.33,68.98,83.73,37.96,0,Roasso Kumamoto 4-1 Giravanz Kitakyushu,2026-02-22
Roasso Kumamoto,2.60,0.84,1.76,2.55,0.66,1.89,0.05,0.18,-0.13,2.60,0.84,1.76,4,1,3,1.24,56.30,65.53,47.58,1.03,0.14,244,18,18,15,17.48,107.14,23.29,4,4,26,4,10,175.3,79.57,37.93,31.02,136.83,62.04,0,Roasso Kumamoto 4-1 Giravanz Kitakyushu,2026-02-22
Reilac Shiga,0.62,1.07,-0.45,0.56,1.04,-0.48,0.06,0.04,0.02,0.62,1.07,-0.45,0,0,0,0.45,34.80,43.09,47.61,0.44,1.51,159,6,10,14,22.73,9.27,15.79,7,4,22,6,11,71.8,34.22,136.93,92.56,148.67,62.57,3,Ryūkyū 0-0 Reilac Shiga,2026-02-21
Ryūkyū,1.07,0.62,0.45,1.04,0.56,0.48,0.04,0.06,-0.02,1.07,0.62,0.45,0,0,0,-0.45,65.20,56.91,43.76,1.51,0.44,238,19,14,10,9.27,22.73,11.21,4,7,13,3,6,138.0,65.78,11.0,7.44,88.93,37.43,2,Ryūkyū 0-0 Reilac Shiga,2026-02-21
Sagan Tosu,0.70,0.59,0.11,0.62,0.50,0.12,0.08,0.09,-0.01,0.70,0.59,0.11,1,2,-1,-1.11,61.50,62.14,43.72,0.71,0.73,192,9,11,9,15.49,12.33,9.93,5,3,22,9,9,94.4,64.26,13.6,12.51,64.93,38.73,0,Tegevajaro Miyazaki 2-1 Sagan Tosu,2026-02-21
Tegevajaro Miyazaki,0.59,0.70,-0.11,0.50,0.62,-0.12,0.09,0.08,0.01,0.59,0.70,-0.11,2,1,1,1.11,38.50,37.86,41.25,0.73,0.71,111,11,9,11,12.33,15.49,16.00,3,5,11,3,14,52.5,35.74,95.07,87.49,102.7,61.27,2,Tegevajaro Miyazaki 2-1 Sagan Tosu,2026-02-21
Ehime,3.03,1.06,1.97,1.30,0.99,0.31,1.73,0.07,1.66,3.03,1.06,1.97,2,2,0,-1.97,51.30,66.76,53.28,0.92,1.26,281,24,23,8,25.0,6.35,19.05,3,2,31,13,10,210.4,85.67,55.6,63.71,219.1,89.73,1,Nara Club 2-2 Ehime,2026-02-21
Nara Club,1.06,3.03,-1.97,0.99,1.30,-0.31,0.07,1.73,-1.66,1.06,3.03,-1.97,2,2,0,1.97,48.70,33.24,40.89,1.26,0.92,137,12,8,23,6.35,25.0,20.69,2,3,13,3,5,35.2,14.33,31.67,36.29,25.07,10.27,0,Nara Club 2-2 Ehime,2026-02-21
Ventforet Kofu,1.00,0.34,0.66,1.00,0.24,0.76,0.00,0.10,-0.10,1.00,0.34,0.66,1,1,0,-0.66,44.70,44.8,48.10,0.41,0.38,151,14,12,8,29.27,21.05,16.90,2,3,11,4,8,70.1,47.11,101.6,83.97,114.03,74.31,4,Fujieda MYFC 1-1 Ventforet Kofu,2026-02-21
Fujieda MYFC,0.34,1.00,-0.66,0.24,1.00,-0.76,0.10,0.00,0.10,0.34,1.00,-0.66,1,1,0,0.66,55.30,55.2,42.62,0.38,0.41,160,12,8,12,21.05,29.27,14.84,3,2,12,4,9,78.7,52.89,19.4,16.03,39.43,25.69,1,Fujieda MYFC 1-1 Ventforet Kofu,2026-02-21
Matsumoto Yamaga,1.47,1.83,-0.36,1.47,1.77,-0.30,0.00,0.05,-0.05,1.47,1.83,-0.36,2,1,1,1.36,28.00,30.95,48.00,0.57,1.22,115,3,11,13,19.3,10.66,15.48,4,3,6,2,16,18.4,10.15,197.33,98.27,162.8,84.12,1,Júbilo Iwata 1-2 Matsumoto Yamaga,2026-02-21
Júbilo Iwata,1.83,1.47,0.36,1.77,1.47,0.30,0.05,0.00,0.05,1.83,1.47,0.36,1,2,-1,-1.36,72.00,69.05,45.76,1.22,0.57,261,16,13,11,10.66,19.3,8.19,3,4,29,3,5,162.9,89.85,3.47,1.73,30.73,15.88,3,Júbilo Iwata 1-2 Matsumoto Yamaga,2026-02-21
Consadole Sapporo,2.56,1.48,1.08,1.70,1.25,0.45,0.10,0.23,-0.13,1.80,1.48,0.32,1,1,0,-1.08,73.10,73.14,45.21,0.87,0.24,285,17,18,4,20.69,16.67,8.48,2,4,21,7,8,196.7,98.15,3.53,1.79,85.1,50.36,3,Nagano Parceiro 1-1 Consadole Sapporo,2026-02-21
Nagano Parceiro,1.48,2.56,-1.08,1.25,1.70,-0.45,0.23,0.10,0.13,1.48,1.80,-0.32,1,1,0,1.08,26.90,26.86,43.04,0.24,0.87,94,5,4,18,16.67,20.69,25.45,4,2,6,2,11,3.7,1.85,193.8,98.21,83.87,49.64,0,Nagano Parceiro 1-1 Consadole Sapporo,2026-02-21
Fukushima United,0.30,2.62,-2.32,0.29,2.62,-2.33,0.01,0.01,0.00,0.30,2.62,-2.32,0,6,-6,-3.68,41.30,28.0,38.16,0.51,0.94,112,7,9,15,17.65,15.96,12.12,4,7,5,3,12,35.0,13.43,73.27,65.97,26.8,6.25,0,Omiya Ardija 6-0 Fukushima United,2026-02-21
Omiya Ardija,2.62,0.30,2.32,2.62,0.29,2.33,0.01,0.01,0.00,2.62,0.30,2.32,6,0,6,3.68,58.70,72.0,52.56,0.94,0.51,318,28,15,9,15.96,17.65,13.04,7,4,35,6,9,225.6,86.57,37.8,34.03,402.33,93.75,4,Omiya Ardija 6-0 Fukushima United,2026-02-21
Blaublitz Akita,1.26,0.87,0.39,0.77,0.76,0.01,0.50,0.11,0.39,1.26,0.87,0.39,2,1,1,0.61,50.40,56.27,51.41,0.23,0.33,188,7,12,10,52.17,30.3,6.74,5,0,22,6,14,82.8,67.7,28.33,54.84,100.37,67.98,7,Sagamihara 1-2 Blaublitz Akita,2026-02-21
Sagamihara,0.87,1.26,-0.39,0.76,0.77,-0.01,0.11,0.50,-0.39,0.87,1.26,-0.39,1,2,-1,-0.61,49.60,43.73,45.18,0.33,0.23,137,4,10,12,30.3,52.17,7.86,0,5,16,3,15,39.5,32.3,23.33,45.16,47.27,32.02,2,Sagamihara 1-2 Blaublitz Akita,2026-02-21
Vanraure Hachinohe,0.77,0.71,0.06,0.72,0.64,0.08,0.05,0.08,-0.03,0.77,0.71,0.06,0,1,-1,-1.06,41.00,51.75,50.22,0.48,0.38,184,12,16,8,33.33,21.05,15.50,4,6,19,5,12,105.3,55.3,117.53,91.35,164.33,77.13,3,Shonan Bellmare 1-0 Vanraure Hachinohe,2026-02-21
Shonan Bellmare,0.71,0.77,-0.06,0.64,0.72,-0.08,0.08,0.05,0.03,0.71,0.77,-0.06,1,0,1,1.06,59.00,48.25,42.53,0.38,0.48,204,5,8,16,21.05,33.33,9.42,6,4,8,2,12,85.1,44.7,11.13,8.65,48.73,22.87,1,Shonan Bellmare 1-0 Vanraure Hachinohe,2026-02-21
Montedio Yamagata,0.37,3.61,-3.24,0.28,3.12,-2.84,0.09,0.49,-0.40,0.37,3.61,-3.24,1,1,0,3.24,37.80,37.63,46.68,0.57,1.63,151,6,10,26,17.54,15.95,17.36,6,5,15,4,9,9.5,5.11,125.27,91.75,88.0,52.26,3,Thespa Gunma 1-1 Montedio Yamagata,2026-02-21
Thespa Gunma,3.61,0.37,3.24,3.12,0.28,2.84,0.49,0.09,0.40,3.61,0.37,3.24,1,1,0,-3.24,62.20,62.37,45.93,1.63,0.57,241,21,26,10,15.95,17.54,11.12,5,6,31,12,9,176.4,94.89,11.27,8.25,80.4,47.74,0,Thespa Gunma 1-1 Montedio Yamagata,2026-02-21
Ryūkyū,0.67,2.52,-1.85,0.66,2.16,-1.50,0.01,0.37,-0.36,0.67,2.52,-1.85,1,3,-2,-0.15,50.30,33.05,38.74,0.38,1.32,113,8,9,23,23.68,17.42,12.05,0,5,10,2,4,46.3,17.91,11.6,11.4,24.23,7.96,0,Kagoshima United 3-1 Ryūkyū,2026-02-15
Kagoshima United,2.52,0.67,1.85,2.16,0.66,1.50,0.37,0.01,0.36,2.52,0.67,1.85,3,1,2,0.15,49.70,66.95,55.30,1.32,0.38,245,24,23,9,17.42,23.68,13.92,5,0,27,9,11,212.2,82.09,90.13,88.6,280.07,92.04,10,Kagoshima United 3-1 Ryūkyū,2026-02-15
Gainare Tottori,1.05,1.56,-0.51,1.02,1.26,-0.24,0.02,0.30,-0.28,1.05,1.56,-0.51,1,3,-2,-1.49,52.20,53.85,47.55,0.61,1.05,255,8,10,11,16.39,10.48,21.39,2,5,14,3,8,136.6,52.18,59.07,37.99,46.28,19.64,0,Tegevajaro Miyazaki 3-1 Gainare Tottori,2026-02-15
Tegevajaro Miyazaki,1.56,1.05,0.51,1.26,1.02,0.24,0.30,0.02,0.28,1.56,1.05,0.51,3,1,2,1.49,47.80,46.15,47.78,1.05,0.61,232,14,11,10,10.48,16.39,19.14,5,2,22,7,6,125.2,47.82,96.4,62.01,189.39,80.36,0,Tegevajaro Miyazaki 3-1 Gainare Tottori,2026-02-15
Giravanz Kitakyushu,1.77,3.24,-1.47,0.56,3.22,-2.66,0.44,0.03,0.41,1.01,3.24,-2.23,0,2,-2,-0.53,48.20,44.76,48.09,0.28,1.61,244,5,14,17,50.0,10.56,14.59,5,3,23,7,6,114.2,36.71,64.87,51.9,79.93,29.0,0,Oita Trinita 2-0 Giravanz Kitakyushu,2026-02-15
Oita Trinita,3.24,1.77,1.47,3.22,0.56,2.66,0.03,0.44,-0.41,3.24,1.01,2.23,2,0,2,0.53,51.80,55.24,49.00,1.61,0.28,247,16,17,14,10.56,50.0,19.71,3,5,30,2,12,196.9,63.29,60.13,48.1,195.73,71.0,0,Oita Trinita 2-0 Giravanz Kitakyushu,2026-02-15
Roasso Kumamoto,0.68,1.19,-0.51,0.68,0.43,0.25,0.00,0.00,0.00,0.68,0.43,0.25,1,1,0,0.51,51.40,52.72,45.28,0.78,0.28,225,14,10,9,12.82,32.14,15.04,6,7,10,0,20,90.4,58.51,45.0,37.97,85.73,42.19,0,Sagan Tosu 1-1 Roasso Kumamoto,2026-02-15
Sagan Tosu,1.19,0.68,0.51,0.43,0.68,-0.25,0.00,0.00,0.00,0.43,0.68,-0.25,1,1,0,-0.51,48.60,47.28,44.92,0.28,0.78,188,3,9,10,32.14,12.82,12.11,7,6,16,2,9,64.1,41.49,73.53,62.03,117.47,57.81,0,Sagan Tosu 1-1 Roasso Kumamoto,2026-02-15
