Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Miami,2.68,4.07,-1.39,1.92,2.85,-0.93,0.00,0.46,-0.46,1.92,3.31,-1.39,4,2,2,3.39,49.40,39.6,41.33,0.78,0.94,140,9,12,15,15.38,15.96,13.75,1,6,15,4,13,34.3,30.22,51.6,60.51,52.5,39.6,1,Sporting JAX 2-4 Miami,2026-03-25
Sporting JAX,4.07,2.68,1.39,2.85,1.92,0.93,0.46,0.00,0.46,3.31,1.92,1.39,2,4,-2,-3.39,50.60,60.4,45.35,0.94,0.78,176,11,15,12,15.96,15.38,9.02,6,1,31,8,17,79.2,69.78,33.67,39.49,80.07,60.4,0,Sporting JAX 2-4 Miami,2026-03-25
Brooklyn,0.78,2.41,-1.63,0.78,1.48,-0.70,0.00,0.93,-0.93,0.78,2.41,-1.63,0,3,-3,-1.37,40.40,54.04,51.37,0.55,0.74,206,9,10,20,18.18,27.03,15.10,2,1,12,2,21,89.2,46.22,129.13,91.76,180.23,68.0,1,Lexington 3-0 Brooklyn,2026-03-25
Lexington,2.41,0.78,1.63,1.48,0.78,0.70,0.93,0.00,0.93,2.41,0.78,1.63,3,0,3,1.37,59.60,45.96,39.52,0.74,0.55,150,10,20,10,27.03,18.18,7.28,1,2,10,4,11,103.8,53.78,11.6,8.24,84.81,32.0,0,Lexington 3-0 Brooklyn,2026-03-25
Monterey Bay,2.4,1.62,0.78,1.64,1.62,0.02,0.0,0.0,0.0,1.64,1.62,0.02,1,1,0,-0.78,41.7,35.38,39.58,0.58,0.87,123,6,12,9,20.69,10.34,13.0,5,5,11,0,16,51.7,26.84,64.53,65.94,62.87,31.4,1,Sacramento Republic 1-1 Monterey Bay,2026-03-21
Sacramento Republic,1.62,2.4,-0.78,1.62,1.64,-0.02,0.0,0.0,0.0,1.62,1.64,-0.02,1,1,0,0.78,58.3,64.62,45.71,0.87,0.58,232,7,9,12,10.34,20.69,10.0,5,5,20,7,10,140.9,73.16,33.33,34.06,137.37,68.6,0,Sacramento Republic 1-1 Monterey Bay,2026-03-21
Oakland Roots,3.06,1.06,2.0,2.98,0.67,2.31,0.08,0.39,-0.31,3.06,1.06,2.0,2,2,0,-2.0,53.1,51.97,46.0,0.85,0.81,189,18,16,11,18.82,13.58,11.65,0,7,15,4,14,123.4,62.01,45.13,44.66,129.8,78.52,0,Phoenix Rising 2-2 Oakland Roots,2026-03-21
Phoenix Rising,1.06,3.06,-2.0,0.67,2.98,-2.31,0.39,0.08,0.31,1.06,3.06,-2.0,2,2,0,2.0,46.9,48.03,45.37,0.81,0.85,153,13,11,16,13.58,18.82,10.11,7,0,26,5,15,75.6,37.99,55.93,55.34,35.5,21.48,0,Phoenix Rising 2-2 Oakland Roots,2026-03-21
Colorado Springs,1.07,0.81,0.26,1.05,0.81,0.24,0.02,0.0,0.02,1.07,0.81,0.26,0,1,-1,-1.26,48.6,61.4,48.14,0.69,0.3,202,12,12,5,17.39,16.67,8.13,12,1,33,7,16,119.4,67.31,69.33,62.65,143.1,72.6,10,Orange County SC 1-0 Colorado Springs,2026-03-21
Orange County SC,0.81,1.07,-0.26,0.81,1.05,-0.24,0.0,0.02,-0.02,0.81,1.07,-0.26,1,0,1,1.26,51.4,38.6,40.99,0.3,0.69,147,4,5,12,16.67,17.39,15.2,1,12,13,4,13,58.0,32.69,41.33,37.35,54.0,27.4,0,Orange County SC 1-0 Colorado Springs,2026-03-21
